id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
571,0.999,0.999,5.22e-08,-1.57e-10,0,1,728000,787,572000,727000,2.4,0.117,0.000178,0.108,72.4,54.2,0.0918,1.25,0.00203,369,1.05,5950
572,1,1,845,0,2.69e-16,1,396000,184,236,1580000,2.4,0.17,959,8.43,43.5,80.9,0.219,2.42,0.265,8.84,63.9,3.35
573,0.972,0.972,0.149,-1.5e-08,0,1,14000,14.7,16.8,14000,2.4,407,0.0218,37.4,6.97,210,0.832,13,40.2,5.23,489,120
574,1,1,0.000196,-4.96e-13,0,1,6490000,80.8,19200,6520000,2.4,0.147,0.0467,0.00319,467,230,5.79,17.2,9.74,0.756,159,6770
575,0.999,0.999,0.153,-2.98e-09,0,1,174000,2.41,3.48,175000,2.4,0.877,0.068,93.3,1.04,417,93.2,324,13.2,0.138,30.5,7.84
576,0.984,0.985,0.0883,1.06e-08,0,0.899,8.94,3.99,6.44,9.41,2.4,13.6,0.183,1.56,160,1130,66.8,1040,0.00153,0.00291,7760,324
577,1,1,0.984,1.11e-12,2.26e-16,1,1330000,277,280,1340000,2.4,0.765,0.00819,341,453,39.1,0.064,14.1,0.0243,1.47,69.5,10.3
578,1,1,27.3,-1.3e-16,0,1,4090000,0.182,0.182,4090000,2.4,15.4,0.000371,323,781,1170,19.5,3.53,0.256,0.00393,5.31,7640
579,1,1,938,2e-13,1.21e-16,1,283000,23.6,23.9,320000,2.4,86.1,11.9,530,471,291,1.13,21,10.7,1.15,173,3.78
580,0.0115,0.0146,0.000103,5.74e-13,-1.2e-13,0.812,4.31,1.08,5.23,5.48,2.4,597,0.746,3.98,53.3,1.14,51.6,175,0.217,420,28.9,2620
581,0.992,0.993,1.02,-1.8e-09,1.08e-15,1,2650,696,1240,3180,2.4,123,1.58,0.491,1210,12.6,0.919,1.2,0.196,0.733,102,44.8
582,0.037,0.183,0.00103,1.28e-07,0,0.943,16.6,88.9,94,95.6,2.4,482,0.113,0.0218,112,2.15,0.398,39.8,0.0231,0.262,3330,224
583,1,1,258,1.42e-11,0,1,8790,0.391,0.391,14600,2.4,131,0.371,401,99.8,242,640,250,0.00297,0.00738,183,439
584,0.766,0.864,5.86e-05,4.31e-09,4e-16,0.39,0.639,0.975,1.24,1.24,2.4,561,31.6,0.000237,15.8,102,6.74,336,0.0388,104,76.5,49.3
585,1,1,21900,-6.97e-15,8.3e-16,0.999,1100,0.283,0.283,934000,2.4,166,37.1,582,37.4,4.55,362,102,0.318,0.948,614,2750
586,0.863,1,2.06,-3.47e-12,0,0.104,0.116,36.8,36.8,2750,2.4,235,89.4,0.00144,3.18,28.1,16.1,463,0.00926,0.00228,939,7690
587,0.998,1,92.8,4.24e-13,1.53e-16,0.993,139,627,650,14900,2.4,58.3,371,0.0396,7.38,167,0.0545,7.55,0.00849,0.0421,1.75,65.1
588,0.995,0.995,0.000108,1.53e-09,-1.25e-16,1,54500,0.0207,17.2,56000,2.4,0.155,0.0927,0.444,20.5,1.2,1030,135,246,372,10.1,19.1
589,0.319,0.334,5.24e-05,-1.44e-10,-1.73e-16,0.995,189,0.191,52.6,204,2.4,28.5,0.0626,0.00663,28.5,5.33,161,17.8,21.2,0.00799,39.3,6.75
590,1,1,84.6,-1.68e-16,3.36e-16,1,1900000,1340,1340,4.34e+09,2.4,16.9,68.5,1.99,917,10.2,0.964,551,16,1.43,8080,3000
591,1,1,22100,0,-3.3e-16,1,6340,0.932,0.933,174000,2.4,1.2,426,677,491,23.5,30.7,19.1,0.0405,0.00617,339,1.46
592,0.999,1,8.44,3.69e-11,0,1,2080,1490,1930,5530,2.4,41.7,10.2,35.6,358,6.04,0.159,42.3,0.0113,7.07,8.91,1.18
593,0.902,0.901,7.8e-07,-0.00176,8.56e-16,1,2720,131,2720,2720,2.4,23.6,0.206,0.000188,56.1,29.7,0.407,1.01,0.221,44.7,2.46,479
594,1,1,193,-3.25e-11,0,1,25300,4.3,4.35,78000,2.4,15.8,6.99,0.135,818,749,7.05,1.09,1.9,0.00243,8.19,446
595,0.971,0.972,0.000195,2.75e-08,-2.1e-14,0.999,694,17.6,737,738,2.4,17,26.4,0.00215,2.93,617,0.173,414,0.57,283,24.3,3750
596,1,1,0.000806,-4.04e-16,1.35e-16,1,2.48e+08,385,166000,2.48e+08,2.4,1.19,0.348,0.0926,626,251,1.62,3.06,633,39.8,42.2,12.2
597,1,1,4.5,3.85e-13,1.97e-16,1,966000,145,287,60700000,2.4,0.274,276,4.9,1290,17.7,280,1190,0.0714,0.202,5.97,3.98
598,1,1,16.5,1.08e-15,2.11e-14,1,1400000,32.3,41.4,12400000,2.4,1.96,41.5,0.513,1060,6.82,64.4,1.67,98.9,1.28,1.64,280
599,1,1,16.3,-1.43e-13,0,1,53600000,6.35,6.43,1.32e+08,2.4,0.295,0.503,21.5,15.3,35.4,10.7,68.4,63,0.0871,439,119
600,0.0807,0.0822,0.000109,-2.83e-07,3.61e-14,0.95,19,0.0384,15,19.4,2.4,71.2,2.33,0.00972,5.55,103,147,15.6,19.9,17.2,15,7270
601,0.0702,0.0702,8.71e-10,-7.94e-09,-2.67e-16,0.972,35.1,0.438,35.1,35.1,2.4,185,0.00305,0.00173,316,64.6,712,97.9,0.157,415,59.4,10
602,1,1,6.99,1.07e-13,-1.02e-15,1,4.3e+07,29.5,45.2,43200000,2.4,0.267,3.76,419,20.8,15.4,0.355,4.84,113,226,52.7,253
603,0.0246,0.429,3.09e-05,4.68e-08,1.88e-16,0.905,9.55,6.88,205,278,2.4,48.7,0.232,0.000758,13.5,2.53,56.3,748,1.12,1.21,124,607
604,0.000163,0.000163,4.18e-07,-2.44e-07,1.7e-16,0.0682,0.0731,0.0263,0.0713,0.0731,2.4,103,0.172,14.7,9.5,262,242,38.5,0.11,984,6050,9.58
605,1,1,1.14e-05,-1.22e-14,-4.46e-16,1,3150000,279,50200,3150000,2.4,44.2,0.00208,0.000312,1180,401,4.21,23.4,409,0.0297,1.15,860
606,1,1,53.1,4.02e-16,-1.34e-16,1,3.9e+08,245,274,4.96e+08,2.4,3.37,7.93,22.6,2.48,90.9,0.0398,10.5,595,2.95,51.8,24.1
607,0.999,0.999,6.74e-05,-7.25e-05,-2.01e-16,1,70000,0.728,2890,71000,2.4,0.622,0.283,0.00992,172,113,239,233,0.158,11.7,4.76,7.8
608,0.0542,-0.186,-4.32e-10,1.27,0,0.964,27,0.0179,26.4,27,2.4,1.09,0.000147,0.0043,10.3,422,575,9.79,1.19,270,3300,1610
609,0.978,0.978,1.15e-09,1.8e-10,0,1,21100,7.15,21100,21200,2.4,16.7,0.00144,0.000102,793,3.91,111,1080,34.5,119,17,175
610,1,1,70.9,-1.43e-12,-3.81e-15,0.999,1680,0.00185,0.00235,1720,2.4,0.536,19.5,16.6,2.5,247,989,1.63,86.2,4.56,812,8460
611,0.999,0.999,0.000396,-1.15e-12,0,1,625000,43.7,139,626000,2.4,0.232,0.000867,151,212,2.09,11.8,1190,0.736,0.0582,10.3,3.58
612,0.876,0.897,0.627,-1.89e-09,0,0.936,14.6,13.3,17.4,18,2.4,469,9.2,20.2,36.3,92.4,1.83,622,0.116,40.3,216,2.76
613,0.781,0.781,0.304,-1.16e-07,0,0.999,1610,1.8,1.83,1620,2.4,127,0.00569,212,18.4,4.83,9.82,17.7,0.414,0.00172,10.5,5.7
614,1,1,32700,-1.21e-11,-3.34e-16,1,8450,0.284,0.284,3.7e+07,2.4,0.119,582,209,399,3.47,367,97,0.00303,3.48,7430,399
615,1,1,0.281,-6.23e-14,3.95e-16,1,1250000,5470,169000,2440000,2.4,2.68,17.7,13.2,1130,10.9,0.392,487,0.946,789,30.9,11.7
616,0.998,1,11500,8.39e-15,1.58e-16,1,869000,3.88,3.88,2.9e+10,2.4,87.4,120,160,5.2,2.06,247,959,46.1,0.0945,2.01,610
617,1,1,0.0915,1.59e-14,3.03e-16,0.979,45.8,16600,29700,103000,2.4,146,229,0.000354,102,18.2,6.11,157,0.0189,0.704,19.4,870
618,1,1,0.345,-3.21e-16,0,1,7.14e+08,8.2,8.29,7.15e+08,2.4,0.387,0.00374,505,89.9,41.4,2.53,20,300,4.33,614,17.6
619,1.05,1.05,2.2e-06,-2.38e-08,2.03e-16,1,8760,360,8740,8820,2.4,33.4,0.00527,0.0157,27.5,5.11,0.0741,248,0.652,10.8,382,8.59
620,1,1,0.177,4.7e-16,0,1,8.17e+08,10.8,10.8,8.17e+08,2.4,17.1,0.000101,9.46,2.17,99.6,0.193,2.09,610,0.0046,417,2650
621,1,1,0.512,2.05e-13,2.17e-16,1,1160000,14.2,127,1200000,2.4,0.611,4.17,0.328,14.9,517,1.03,9.32,37.9,0.85,170,5.12
622,0.963,0.99,54.3,-2.21e-09,3.89e-16,0.987,77.2,24.1,26.5,304,2.4,43.8,23.6,0.0789,5.88,649,0.181,2.74,0.00868,0.0284,5.52,494
623,0.997,0.997,4.43e-05,2.61e-11,0,1,160000,32,354,161000,2.4,199,0.000448,64.2,2.6,1.04,3.91,1360,752,610,7630,35.9
624,0.999,0.999,0.000453,2.23e-12,-1.2e-16,1,432000,12.7,10300,434000,2.4,32.6,0.378,0.00223,14.5,660,1.14,9.19,920,1.85,5.59,1520
625,0.608,0.608,3.61e-05,1.73e-07,0,0.999,725,20.7,149,725,2.4,97.7,0.000463,39.7,14.7,2.91,5.39,894,2.13,0.00571,16.5,2.88
626,1,1,705,2.6e-14,1.61e-16,0.998,447,0.1,0.1,14200,2.4,9.72,34.4,44.8,2.53,61.9,1210,121,0.697,0.0314,1150,56.3
627,1,1,0.000406,-1.91e-13,0,1,13600,2680,19500,19500,2.4,2.03,2.68,0.000125,386,9.68,0.178,1.31,0.00155,0.0467,19.8,1.68
628,0.995,1,6560,1.9e-13,-1.39e-16,0.998,480,0.337,0.337,4960000,2.4,630,649,0.192,8.08,391,355,119,0.549,0.00339,4.85,7570
629,0.00299,0.00302,9.28e-11,-1.27e-06,0,0.586,1.42,0.0247,1.43,1.43,2.4,283,0.00806,0.0012,6.69,3.14,269,1270,5.13,0.00768,32.7,4.05
630,1,1,1860,-1.18e-13,-1.22e-16,1,3520000,1010,1010,3.05e+09,2.4,7.46,21.2,7.24,35.9,21.8,0.0734,73.3,0.206,0.0488,1.8,2190
631,0.962,0.962,7.95e-06,-6.97e-09,2.05e-16,1,11900,0.14,6.99,11900,2.4,2.79,0.000404,1.69,77.9,1.78,552,56.5,169,82.5,24.5,1710
632,1,1,0.198,2.81e-16,1.4e-16,0.999,1390,82.9,130,1330000,2.4,0.551,106,0.00153,1.65,14.7,7.68,108,2.5,0.00113,55.4,132
633,0.00106,0.00164,1.74e-06,-5.03e-05,0,0.334,0.502,0.772,0.774,0.774,2.4,830,0.0114,0.18,13.1,6.84,0.364,627,0.00172,0.325,9260,392
634,1,1,2e-09,0.00301,-2.08e-16,1,53000,1820,53000,53000,2.4,0.424,0.00163,0.000717,87.9,279,0.0467,1260,0.00168,587,5.68,5290
635,0.0998,0.105,1.14e-06,-3.36e-09,0,0.981,51.8,13.9,54.6,55,2.4,297,0.00393,0.000494,12.2,59.5,0.721,167,0.562,0.00186,4.35,941
636,0.998,0.999,0.629,-8.83e-12,0,1,82900,4.9,8.23,198000,2.4,10.7,1.02,155,116,4.14,195,1420,0.00117,178,1.34,19.1
637,0.0115,0.00258,1.25e-10,-0.447,-6.83e-16,0.845,5.46,0.323,5.45,5.46,2.4,2.77,0.00514,0.000653,1.4,187,4.07,1.18,0.0139,69.2,179,9.14
638,0.36,0.359,0.0471,-1.35e-06,0,0.996,259,2.7,2.74,259,2.4,385,0.00229,478,42.7,682,11.7,31.7,0.0236,0.0408,23.6,3.82
639,1,1,0.000596,1.06e-13,1.82e-16,1,1170000,120,715,1170000,2.4,70.1,0.00296,0.43,110,23.8,0.767,4.05,471,2.14,10.1,1070
640,0.617,0.617,0.000134,1.56e-07,2.25e-15,0.997,388,253,386,388,2.4,866,0.0252,5.18,27.9,8.4,0.0382,22,0.379,603,935,4760
641,1,1,4.99e-09,1.66e-16,0,1,24100000,2780,24200000,24800000,2.4,9.9,0.00195,0.000142,417,1.36,0.154,1090,73.3,0.78,58.9,19.9
642,0.924,0.939,2.05,-2.76e-08,0,0.997,340,30.9,31,427,2.4,847,0.0121,144,445,63.1,31.6,1050,0.00112,0.155,821,1650
643,0.997,0.997,1.22e-06,7.37e-13,0,1,165000,63.7,69900,165000,2.4,237,0.00233,0.0108,126,46.1,1.98,1.89,508,20.6,3070,333
644,0.98,1,3.06,1.1e-11,1.45e-16,0.988,79.3,0.842,1.49,8050,2.4,40.9,240,0.0048,1.09,1350,200,213,1.32,0.0505,1.43,652
645,1,1,2.06,9.82e-14,0,1,10200000,38.2,38.2,10200000,2.4,6.13,0.000604,557,647,1430,0.451,17,0.396,0.0128,108,113
646,0.981,0.984,0.0375,1.11e-15,0,1,27300,0.442,0.735,31700,2.4,3.84,0.0293,0.26,4.33,6.51,14.3,7.17,90.8,0.0351,65.1,43.5
647,0.539,0.567,0.00136,1.6e-07,-1.8e-16,0.998,445,3.76,35.3,497,2.4,13,0.0243,0.184,34.3,41.4,18.7,368,1.27,0.112,7250,211
648,1,1,2.4e-06,2.55e-10,2.48e-15,1,126000,160,127000,130000,2.4,18.7,0.0774,0.00353,12.9,11.9,0.0834,634,12.6,114,5.15,2820
649,1,1,22100,1.81e-12,3.72e-14,1,57500,582,582,1.16e+08,2.4,329,769,24.8,532,1.86,0.0391,4.22,0.933,0.864,5.62,3590
650,1,1,1220,-1.86e-16,-5.59e-16,1,92400000,204,204,2.09e+11,2.4,2.25,18.7,53.8,242,1.06,0.536,105,12.8,0.551,3.62,386
651,1,1,0.39,-2.71e-15,0,1,12600,765,5510,74400,2.4,0.28,15.5,0.0982,73,46.9,0.497,58.3,0.019,0.0252,1060,15
652,0.895,0.889,1.84e-06,-7.98e-12,0,1,4190,0.0292,3.33,4190,2.4,7.62,0.000234,0.000106,3,450,102,1.96,898,0.00132,283,185
653,0.955,0.998,0.000365,-3.49e-10,-1.48e-16,1,3010,119,9010,76300,2.4,2.27,0.784,0.000322,8.47,17.6,1.81,377,0.00183,0.468,1.53,1700
654,0.998,1,0.00191,8.98e-13,6.41e-14,0.845,5.46,12,2680,4140,2.4,94.7,918,0.000509,4.6,1.1,291,221,0.913,244,11.1,962
655,0.835,0.837,0.000476,-1.19e-07,-9.52e-16,1,2190,37.5,1540,2220,2.4,364,0.0761,0.0111,530,47.2,14,14.5,14,1.48,3.98,6450
656,0.553,0.992,4.99,-1.18e-09,-1.77e-16,1,4980,5.36,5.37,438000,2.4,333,0.569,1.96,47,1.82,12.5,61.6,29,0.0101,4360,291
657,0.999,1,0.0364,1.05e-10,4.76e-15,1,6960,0.135,483,12400,2.4,12.2,243,0.00809,3.73,24.5,49.5,4.29,939,53.8,82.3,20.9
658,1,1,0.686,1.68e-11,-8.57e-15,1,2920,1.65,548,4990,2.4,21.5,437,0.06,14.3,17.8,14.8,1.1,53.8,37.8,1140,2.95
659,1,1,1.45,-2.77e-11,0,1,10900000,575,618,24200000,2.4,0.158,0.242,0.48,230,163,0.168,65.4,0.283,0.0478,1.61,2030
660,1,1,7.54,2.36e-16,1.18e-16,1,22700,1170,11700,198000,2.4,0.541,624,0.00165,10.5,641,0.07,1.08,0.0585,0.00229,7.25,8.06
661,0.999,1,65.3,-9.86e-11,0,1,4360,1.19,1.23,7530,2.4,559,4.12,418,591,259,1010,1210,102,0.0123,725,45.8
662,1,1,9.94e-06,7.64e-12,0,1,1960000,862,297000,1960000,2.4,121,0.00403,1.25,142,120,0.165,163,227,508,320,2350
663,1,1,1.19,-1.78e-07,0,1,135000,3.92,14.3,140000,2.4,0.52,3.27,49.4,737,407,183,593,0.0666,101,16.4,17.2
664,0.986,0.998,0.1,-3.06e-12,0,1,3030,0.271,0.639,18500,2.4,0.225,0.835,0.23,2,2.03,63,23.7,0.0941,0.183,8.72,13.8
665,0.998,0.998,0.115,-1.43e-10,0,1,55800,2.04,2.7,58100,2.4,2.37,0.0386,262,2.43,10,347,937,0.0702,80.1,25.5,118
666,0.999,0.999,7.5e-10,1.28e-10,0,1,480000,34.3,454000,480000,2.4,14.7,0.000185,0.000492,78.2,837,2.28,1060,171,0.0424,641,8.79
667,1,1,1.26,2.99e-15,1.58e-15,1,138000,11.4,13.1,140000,2.4,0.355,0.194,204,224,3.35,3.22,7.84,0.189,31.3,11.3,194
668,0.987,1,2.57,-3.06e-11,1.73e-16,0.314,0.458,1.54,1.56,96.1,2.4,68.3,6.89,0.0034,105,11.7,180,3.22,0.0014,0.00653,4210,1240
669,0.999,1,5.45,2.7e-12,1.02e-13,1,585000,1520,1650,7560000,2.4,174,5.99,89.4,200,2.65,0.447,518,56,98.2,1.33,9680
670,0.999,0.999,0.00851,-2.71e-14,0,1,355000,15.4,823,373000,2.4,0.132,0.469,0.375,1.06,91.7,0.316,203,2.59,5.79,6160,13.6
671,1,1,1.54,1.87e-08,0,1,51400,0.144,0.199,51500,2.4,0.139,0.592,7.1,432,288,849,3.43,0.088,2.67,74.8,58.1
672,4.91e-05,4.72e-05,1.05e-11,5.96e-06,1.19e-16,0.0226,0.0231,0.0122,0.0231,0.0231,2.4,157,0.000245,0.0026,7.18,149,275,3.31,0.0311,0.309,3250,1.3
673,1,1,0.043,2.35e-11,0,1,9930,2350,2840,9930,2.4,150,0.0126,131,957,331,0.0756,18.5,0.0324,38.6,1.28,643
674,0.00793,0.00793,1.22e-11,-2.07e-05,0,0.791,3.78,0.711,3.78,3.78,2.4,140,0.000105,0.0103,653,2.88,745,1350,0.198,1.82,2450,1.92
675,0.00195,0.00195,2.5e-05,1.5e-07,-1.35e-16,0.479,0.919,0.913,0.918,0.921,2.4,646,0.0225,203,1.36,1.33,0.235,59.4,0.00164,356,142,4110
676,0.993,0.999,2.26,-1.57e-10,-1.96e-16,0.939,15.5,33.1,51,105,2.4,70.9,16.1,0.0322,75.1,282,5.64,23.3,0.0289,0.0447,154,126
677,1,1,9.29e-08,0,2.85e-16,1,994000,40.4,388000,994000,2.4,6.16,0.00146,0.00661,2.67,37.5,0.0664,234,126,1.01,5.73,2.27
678,1,1,9.13,0,0,1,2.12e+08,180,227,2.12e+08,2.4,1.73,2.38,70.5,3.51,1050,0.114,25,349,0.591,1150,1.41
679,0.309,0.311,0.0334,-1.35e-07,6.46e-16,0.986,69.2,0.0536,0.262,70.2,2.4,129,0.424,2.57,82.8,4.07,1250,1.32,0.00419,10.1,11.2,39.4
680,0.965,0.965,0.000306,-7.44e-11,0,1,12800,1.31,3.38,12800,2.4,2.16,0.000502,377,1.14,2.39,87.3,293,0.0103,549,8.13,6.12
681,1.03,1.03,7.24e-06,-2.67e-08,1.21e-16,1,6090,2120,6080,6090,2.4,84.5,0.00643,0.339,317,27.9,0.0975,2.52,0.131,311,1020,830
682,1,1,0.0405,-5.35e-08,0,1,1.21e+09,3430,3520,1.21e+09,2.4,3.66,0.00109,149,1.14,183,0.0774,272,28.1,0.0222,12.2,68.6
683,0.999,1,0.104,-6.3e-12,-1.34e-15,1,11800,4710,12000,217000,2.4,68.8,3.13,0.00591,58.5,1.32,0.139,1.3,1.6,0.172,9890,210
684,0.918,0.92,0.00279,1.39e-11,0,1,5360,791,991,5450,2.4,159,0.000956,1.56,30.9,65.9,0.491,585,0.00313,0.00204,2.72,1200
685,1,1,0.000177,-8.08e-14,6.13e-16,0.894,8.4,0.203,58.2,58.7,2.4,0.645,38.7,0.00115,14.4,9.86,496,386,0.00742,161,3370,4.23
686,1,1,3.08,-1.59e-13,-1.73e-15,1,2360,0.955,29.7,3370,2.4,40.4,134,0.0754,499,142,724,1.5,0.00122,3.16,6.31,13.3
687,0.999,0.999,6.08,-3.9e-11,0,1,397000,0.0376,0.0377,478000,2.4,16.2,0.02,69.1,1.08,2.29,141,5.31,449,0.00146,7.86,23.5
688,1,1,6.01e-07,2.01e-05,-1.76e-16,1,6.72e+08,5840,64800000,7.07e+08,2.4,0.189,0.00772,0.000397,587,16.8,0.106,572,19,1.06,38.5,142
689,0.934,0.934,1.7,-5.51e-10,-1.22e-16,0.997,333,3.47,4.11,334,2.4,10.1,0.339,13,1.58,446,3.44,14,0.123,1.65,1710,18.1
690,0.744,1,21.6,1.75e-11,3.29e-16,0.908,9.88,7.32,7.32,122000,2.4,395,91.7,0.0369,2.36,25.5,75,540,1.84,0.00375,1920,3530
691,0.948,0.949,0.0136,-4.52e-08,1.45e-15,0.997,348,40.4,279,353,2.4,13.8,0.41,0.1,105,52.9,2.26,5.26,0.0758,2.86,232,1040
692,0.999,0.999,0.361,1.88e-10,0,1,432000,0.0288,0.0314,433000,2.4,0.309,0.0325,241,3.6,32.8,1340,41.7,0.00507,21.6,4.22,3170
693,1,1,14.7,-2.17e-12,1.21e-16,1,166000,57.4,449,242000,2.4,317,146,0.283,521,1160,11.6,10.2,966,2.51,2220,32.6
694,0.987,0.987,0.0664,-2.68e-10,0,1,35400,3.16,3.34,35400,2.4,3.4,0.00388,314,1.59,9.77,4.09,13.6,1.71,17.5,274,20.5
695,0.995,1,0.415,-1.07e-12,0,1,87900,0.35,0.364,2870000,2.4,0.105,0.56,0.132,2.18,6.32,182,63.4,0.00578,0.127,6.41,1260
696,1,1,9.38e-05,-1.99e-05,-1.45e-16,1,310000,122,44200,310000,2.4,0.124,0.0395,0.276,5.02,138,0.0614,1050,0.26,0.0617,78.8,8.97
697,0.0035,0.00401,0.000442,3.71e-10,1.26e-16,0.448,0.812,0.0554,0.557,0.932,2.4,847,2.84,0.369,32.4,816,895,404,0.423,1.27,87.7,49
698,0.986,0.986,9.34e-07,-2.53e-14,2.23e-16,1,24600,12.2,2390,24600,2.4,0.484,0.000204,1.62,3.09,1310,0.44,499,0.689,17.4,3.81,1.51
699,1,1,4130000,0,1.13e-16,1,21500000,2.63,2.63,3.01e+10,2.4,1.39,998,145,51.4,231,4.29,11.3,0.353,0.00137,2.23,336
700,1,1,59.7,-1.38e-14,0,0.999,903,0.343,0.43,1100,2.4,0.122,18.6,5.65,2.69,1060,53.8,22.3,0.00532,0.0778,883,13.3
701,0.999,0.999,0.00231,1.31e-11,0,1,899000,8.73,9.2,901000,2.4,24.3,0.000125,191,4.88,3.39,60.8,559,88.3,0.0269,3.33,54.1
702,1,1,0.000168,-2.97e-12,0,1,982000,588,2530,982000,2.4,617,0.000556,3.19,48.8,1060,0.0688,12.7,656,10.4,9120,58.6
703,0.0802,0.0803,4.88e-08,1.05e-07,-1.74e-16,0.976,40.9,1.77,40.9,41,2.4,734,0.0152,0.00978,1.08,3.08,0.587,52.4,13.5,234,4640,4.6
704,0.992,0.992,9.87e-08,-2.88e-09,7.98e-16,1,16700,22.3,16800,16800,2.4,0.249,0.26,0.000187,5.08,66.3,0.229,526,0.154,488,258,2840
705,0.929,0.928,0.0411,-1.37e-09,0,0.979,46.4,0.193,0.249,46.4,2.4,0.959,0.013,15.1,162,10.1,211,5.15,0.0134,2.54,7040,2.73
706,1,1,128,0,8.35e-13,0.999,956,113,116,166000,2.4,3.16,492,0.787,1140,11.3,37.7,11.9,0.00284,3.01,471,9960
707,1,1,0.105,-6.22e-15,0,1,2010,223,384,753000,2.4,66.9,28.3,0.0173,1220,1.2,859,74.1,41.3,0.0114,23.1,15.9
708,0.995,0.999,26.3,-9.07e-10,0,0.999,867,4510,4540,7210,2.4,301,4.86,269,23.2,12.8,0.0783,958,0.00325,2.92,7800,20.5
709,0.997,0.997,0.000152,8.31e-10,0,0.976,40,0.0126,36.4,43,2.4,0.368,3.06,0.000471,3.89,217,333,51.2,0.957,0.0294,3810,5.44
710,1,1,35400,0,8.23e-16,1,99200,52,52,43600000,2.4,2.56,758,412,427,13.7,1.52,70.1,0.0794,8.13,203,101
711,0.997,0.997,0.295,4.15e-12,0,1,157000,117,141,160000,2.4,64.7,0.0609,20.4,9.96,895,6.89,968,5.89,0.0744,1.06,235
712,1,1,11.9,-8.24e-14,2.99e-16,1,95400,2.61,12.8,201000,2.4,1.32,98.2,1.03,195,64.4,126,6.13,0.0341,6.93,1.88,3.99
713,1,1,0.00016,1.32e-14,-1.69e-16,1,24200000,11800,87100,24200000,2.4,0.212,0.00102,134,1400,3.26,0.102,12,0.311,857,3590,98.1
714,1.05,1.05,1.67e-08,-1.63e-08,0,1,18100,3010,18100,18100,2.4,81.7,0.000255,0.0309,183,741,0.0507,1380,0.339,486,58.5,137
715,1,1,63900,-9.1e-16,1.14e-16,1,1.2e+08,2.16,2.16,2.43e+10,2.4,2.22,283,7.82,55.6,246,2.93,6.07,451,0.0153,4.74,315
716,0.962,0.976,179,-1.93e-09,0,0.0115,0.0116,0.0162,0.0169,0.0194,2.4,231,102,2.22,3.26,662,55.5,5.4,0.0011,0.902,6600,16.5
717,1,1,0.000627,1.11e-13,2.42e-15,1,11400,3120,11400,11400,2.4,0.927,1.11,0.0118,612,32.3,0.142,1.46,0.00169,20.9,416,8790
718,0.993,1,99.4,1.78e-12,0,0.999,822,9.97,9.97,1090000,2.4,46,19.2,0.296,30.3,14.2,6.2,55.9,0.455,0.0276,40.9,1900
719,0.993,0.993,0.114,9.5e-12,1.21e-15,1,2640,2.71,168,2650,2.4,0.943,7.51,5.31,1.04,335,0.801,75,0.524,347,3.47,600
720,1,1,0.00252,-2.85e-09,3.44e-16,1,2420,0.159,40.9,2950,2.4,0.47,0.799,0.0254,70,27.3,536,59.7,0.275,5.53,77.1,23.7
721,0.0389,0.039,7.22e-06,-2.01e-11,-1.46e-16,0.95,19.1,1.47,6.59,19.1,2.4,454,0.000987,5.79,608,3.51,341,193,1.6,28.3,154,73.2
722,1,1,4.96,-7.36e-14,1.79e-16,1,18700000,360,546,18700000,2.4,5.22,2.57,32.1,135,130,0.131,1.21,77,16.4,161,5.56
723,0.994,0.998,7.57e-06,1.25e-10,-1.12e-16,1,24600,375,67100,67200,2.4,18.3,3.41,0.000439,34.9,7.4,0.253,738,2.62,43.4,2.6,4.81
724,0.993,0.998,28.3,-5.23e-10,0,1,2280,22.8,26.7,6930,2.4,66.2,15,0.679,58.2,489,2.03,23.9,2.02,0.257,4.51,232
725,0.00325,0.00325,2.79e-08,7.04e-05,0,0.607,1.54,0.00396,0.323,1.54,2.4,35.6,0.000874,0.021,1.71,352,939,209,1.79,0.0218,98.2,98.9
726,1,1,0.0274,-2.28e-15,0,1,2.72e+08,2160,6180,3.42e+08,2.4,2.19,0.0642,0.0642,1120,32.4,0.429,19.4,188,0.0335,795,166
727,0.938,0.938,0.000171,5.74e-13,-7.44e-16,1,3760,192,3660,3810,2.4,23.9,0.087,0.0562,57.5,47.7,0.289,173,0.372,26.8,239,4400
728,0.98,1.16,8.98e-09,0.204,-2.14e-16,1,23000,1.2,12400,23000,2.4,0.122,0.000173,0.0116,7.63,145,6.37,67.1,1.64,258,20.9,101
729,0.991,0.991,0.17,-1.63e-09,0,1,10400,0.755,1.43,10400,2.4,0.933,0.153,338,3.45,169,47,64,5.01,300,5340,291
730,0.974,0.992,0.019,-7.46e-09,0,0.943,16.5,0.509,9.51,57.4,2.4,3.05,1.42,0.0958,10,37.8,106,470,0.181,0.914,1190,76.3
731,1,1,1.61,3.31e-13,-1.79e-15,1,1680000,805,3010,6810000,2.4,3.09,17.9,0.00276,365,921,1.35,4.8,15.8,0.03,14.5,7850
732,0.996,0.996,0.155,-3.76e-10,0,1,88800,0.0442,0.0642,89300,2.4,0.348,0.0707,25.4,2.14,13.6,206,12.2,0.0501,11.4,1.13,116
