id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL,Cavgss
17,0.00082,0.00082,1.98e-11,-0.0286,0,0.279,0.387,0.293,0.387,0.387,114,0.000645,0.00311,12.2,320,10.1,29.2,0.0203,82.8,1000,159,1060
18,0.935,0.933,0.0156,-1.05e-08,0,0.999,1480,1.58,1.73,1490,0.86,0.00158,19,1190,1.56,67.5,4.14,0.00504,0.009,1280,2.32,7.96
19,0.0169,0.0169,6.18e-11,-1.26e-07,0,0.889,7.99,0.312,7.99,7.99,26.9,0.00112,0.000197,143,28.7,442,948,0.152,22.9,1110,25.1,249
20,0.995,0.998,0.0387,5.98e-11,3.95e-14,0.966,28.2,57.2,65.5,65.5,107,40.8,0.0422,60.1,1.78,0.31,2.56,0.0129,44.4,6670,1180,995
21,1,1,41.1,1.73e-16,0,1,3250000,74.4,77.3,6.76e+08,0.409,332,128,4.75,1.83,15.7,1180,114,61.6,8.4,1.21,3.78
22,1,1,409,8.98e-13,-1.39e-16,1,9470000,1.03,1.03,1.01e+08,3.47,3.01,10.2,33.6,18.2,4.5,4.39,195,0.00296,235,61,32.2
23,0.999,0.704,1.08e-09,-2.08,1.35e-16,1,314000,1.6,211000,271000,0.243,0.000905,0.000755,138,343,74.2,2.05,0.0765,447,2.18,7900,2.25
24,1,1,0.125,4.47e-10,2.21e-15,1,53800,23600,35800,1070000,8.03,1.32,0.177,287,3.8,0.0843,101,0.102,1.73,4830,755,74.4
25,1,1,0.0161,-4.12e-13,2.15e-16,1,3600000,64.1,471,3750000,4.11,0.106,0.0165,163,1010,2.38,43.4,173,0.0107,734,443,38.1
26,0.434,0.433,0.000295,-4.72e-06,1.59e-16,0.997,321,55.6,215,321,14.6,0.0059,0.649,13.8,363,0.235,33.5,0.028,0.0299,9.87,5.99,135
27,1,1,12600,-1.29e-12,-1.44e-16,1,69100,0.00856,0.00857,71400,7.37,0.658,865,95.3,585,158,1.35,0.0348,0.0259,62.2,70.2,68.2
28,0.999,0.999,26.8,1.21e-09,-3.97e-16,1,46300,0.291,0.293,47300,0.472,0.21,2.1,3.83,665,3.73,1.06,0.401,0.0162,44.9,5910,4.37
29,1,1,0.0242,3.02e-13,0,1,12400000,345,353,12500000,0.725,0.000546,3.32,1.94,273,0.18,63.7,0.477,0.0034,194,890,6.71
30,1,1,2680,-9.24e-14,1.7e-16,1,4610,0.0838,0.0846,19000,0.964,110,5.65,18.3,197,24.3,1.3,0.00129,0.0864,13.5,8.88,8.93
31,1,1,0.0676,2.05e-16,0,1,2.08e+09,1770000,19100000,2.34e+11,1.62,74.6,0.00497,1080,1.34,0.0622,11,162,0.00586,3.73,2,15
32,1,1,0.000802,-2.7e-16,0,1,4470000,4390,7890000,8120000,2.08,94.2,0.000364,1260,484,0.519,179,3.19,4.53,928,4.68,19.2
33,0.992,0.998,41.2,-2.58e-09,0,1,25300,0.761,0.761,121000,415,0.0928,188,28.3,33.1,751,572,25.4,0.0389,2560,1490,3840
34,0.999,0.999,3.28e-05,3.03e-10,6.2e-16,1,499000,4.43,17600,5e+05,0.379,0.135,0.00115,2.53,129,0.573,3.7,35.5,4.72,124,2130,3.51
35,1,1,0.295,1.77e-11,1.88e-16,1,210000,3650,21800,2770000,0.118,19.5,0.56,260,8.86,0.793,205,0.00952,0.00394,15.2,5.54,1.09
36,0.184,0.184,0.000162,-2.28e-09,1.24e-16,0.991,106,1.21,3.27,107,19.3,0.00153,0.816,5.25,31.6,7.18,15,0.879,1.37,2110,295,178
37,0.973,0.973,3.73e-08,-5.88e-12,1.73e-16,1,16900,1.56,16500,17000,82.6,0.0143,0.000536,43.5,1.35,27.9,68.2,724,193,1.32,11.2,765
38,0.0186,0.0186,9.29e-08,-3.78e-07,0,0.899,8.86,6.31,8.86,8.87,190,0.00415,0.00138,1.06,1290,0.0711,413,0.0618,0.199,35.7,434,1760
39,0.153,0.169,4.51e-05,-3.03e-08,-2.03e-16,0.988,84.5,10.3,77.1,95.4,344,0.0101,0.232,128,6.8,14.1,767,0.0399,0.407,6.27,91.4,3190
40,0.999,1,0.444,6.21e-12,4.05e-14,0.813,4.35,70,71.1,71.2,880,159,0.0552,301,8.78,1.11,16.8,0.00142,19.7,108,811,8150
41,0.0366,0.0331,0.000458,-2.69e-10,0,0.947,17.9,3.08,7.5,17.9,316,0.0342,0.144,16,37,3.15,1.11,0.128,0.0203,4.08,3.31,2930
42,0.996,1,0.0658,-2.29e-12,0,1,3230,88300,651000,3100000,372,509,0.00184,15.3,11.1,0.144,299,9.36,0.36,17.4,21.5,3450
