"","time","D","AmtD0","AmtD","AmtD2","T","DT","L","TL","Ttot","Ltot","Dtot","dose","drug","target","ligand","order"
"2370",26.1,667.217301987262,0,2325.9195147276,1386.15958153742,3.95223135864457e-07,0.00646907930142864,0.400024535962927,6.00007734744961e-08,0.00646953452533798,0.4000245959637,667.223771066563,10,"Siltuximab","sIL-6","mIL-6R",5
"2371",26.2,661.555056812872,0,2306.18092804967,1392.3722128619,4.02062847282708e-07,0.00658381415249875,0.400024534564768,6.10507712272011e-08,0.00658427726611726,0.400024595615539,661.561640627024,10,"Siltuximab","sIL-6","mIL-6R",5
"2372",26.3,656.035460123256,0,2286.93961398967,1398.2013846387,4.08920971561775e-07,0.00669819761480559,0.400024533162582,6.21037203168796e-08,0.00669866863949747,0.400024595266302,656.042158320871,10,"Siltuximab","sIL-6","mIL-6R",5
"2373",26.4,650.653723904734,0,2268.1788815319,1403.66093283556,4.1579655969932e-07,0.00681223072182926,0.400024531756574,6.31594699214554e-08,0.00681270967785888,0.400024594916044,650.660536135456,10,"Siltuximab","sIL-6","mIL-6R",5
"2374",26.5,645.405225932494,0,2249.88261760068,1408.76421125813,4.22688703294768e-07,0.00692591450495251,0.400024530346941,6.42178754723508e-08,0.00692640141153127,0.400024594564817,645.412151846999,10,"Siltuximab","sIL-6","mIL-6R",5
"2375",26.6,640.28550401411,0,2232.03526699319,1413.52410830102,4.29596534369409e-07,0.00703924999342183,0.40002452893387,6.52787986382519e-08,0.00703974486875484,0.400024594212669,640.292543264104,10,"Siltuximab","sIL-6","mIL-6R",5
"2376",26.7,635.290250432423,0,2214.62181300743,1417.95306311871,4.36519225097865e-07,0.00715223821430891,0.400024527517541,6.63421072945119e-08,0.0071527410756413,0.400024593859649,635.297402670638,10,"Siltuximab","sIL-6","mIL-6R",5
"2377",26.8,630.415306581937,0,2197.62775874463,1422.06308123322,4.43455987456512e-07,0.00726488019247269,0.400024526098125,6.74076754790534e-08,0.00726539105613563,0.400024593505801,630.42257146213,10,"Siltuximab","sIL-6","mIL-6R",5
"2378",26.9,625.656657791043,0,2181.03910905957,1425.86574960116,4.50406072795358e-07,0.00737717695052206,0.400024524675786,6.84753833357776e-08,0.00737769583197819,0.40002459315117,625.664034967993,10,"Siltuximab","sIL-6","mIL-6R",5
"2379",27,621.01042832451,0,2164.84235313924,1429.37225115599,4.57368771339003e-07,0.0074891295087792,0.400024523250679,6.95451170463468e-08,0.00748965642266759,0.400024592795796,621.017917454019,10,"Siltuximab","sIL-6","mIL-6R",5
"2380",27.1,616.472876559147,0,2149.02444768519,1432.59337884657,4.64343411622928e-07,0.00760073888524379,0.40002452182295,7.06167687513191e-08,0.00760127384542416,0.400024592439719,616.480477298032,10,"Siltuximab","sIL-6","mIL-6R",5
"2381",27.2,612.040390327409,0,2133.57280068135,1435.53954918674,4.71329359870537e-07,0.00771200609555795,0.40002452039274,7.169023646148e-08,0.00771254911515428,0.400024592082976,612.048102333504,10,"Siltuximab","sIL-6","mIL-6R",5
"2382",27.3,607.709482422356,0,2118.47525572433,1438.22081533554,4.78326019316892e-07,0.00782293215297218,0.400024518960179,7.27654239603041e-08,0.00782348324441545,0.400024591725603,607.717305354509,10,"Siltuximab","sIL-6","mIL-6R",5
"2383",27.4,603.476786259097,0,2103.72007689921,1440.6468797219,4.85332829484342e-07,0.00793351806831215,0.400024517525392,7.38422406983622e-08,0.00793407724338233,0.400024591367633,603.484719777166,10,"Siltuximab","sIL-6","mIL-6R",5
"2384",27.5,599.339051686577,0,2089.29593417941,1442.82710623197,4.92349265415516e-07,0.00804376484994652,0.400024516088495,7.49206016805418e-08,0.00804433211981362,0.400024591009096,599.347095451427,10,"Siltuximab","sIL-6","mIL-6R",5
"2385",27.6,595.293140945151,0,2075.1918893348,1444.770531972,4.99374836868584e-07,0.00815367350375578,0.400024514649597,7.60004273468533e-08,0.00815424887902,0.400024590650024,595.301294618655,10,"Siltuximab","sIL-6","mIL-6R",5
"2386",27.7,591.336024764356,0,2061.39738232855,1446.48587862344,5.06409087479708e-07,0.00826324503310208,0.4000245132088,7.70816434476176e-08,0.00826382852383301,0.400024590290444,591.344288009389,10,"Siltuximab","sIL-6","mIL-6R",5
"2387",27.8,587.464778596146,0,2047.90221818617,1447.98156340368,5.13451593897673e-07,0.00837248043880022,0.4000245117662,7.81641809137709e-08,0.00837307205457504,0.400024589930381,587.473151076585,10,"Siltuximab","sIL-6","mIL-6R",5
"2388",27.9,583.676578979117,0,2034.6965543212,1449.26570964567,5.20501964894379e-07,0.00848138071908969,0.400024510321885,7.92479757230053e-08,0.00848198046903031,0.40002458956986,583.685060359837,10,"Siltuximab","sIL-6","mIL-6R",5
"2389",28,579.968700029085,0,2021.77088830139,1450.34615700983,5.27559840456007e-07,0.00858994686960781,0.400024508875935,8.03329687623598e-08,0.00859055476241703,0.400024589208904,579.977289975955,10,"Siltuximab","sIL-6","mIL-6R",5
"2390",28.1,576.338510051327,0,2009.11604603893,1451.23047134189,5.34624890858749e-07,0.00869817988336404,0.400024507428427,8.14191056879877e-08,0.00869879592736059,0.400024588847533,576.34720823121,10,"Siltuximab","sIL-6","mIL-6R",5
"2391",28.2,572.783468270686,0,1996.72317039161,1451.92595418773,5.41696815732617e-07,0.00880608075071538,0.40002450597943,8.25063367826398e-08,0.0088067049538679,0.400024588485767,572.792274351437,10,"Siltuximab","sIL-6","mIL-6R",5
"2392",28.3,569.301121675002,0,1984.58371015906,1452.4396519785,5.4877534311706e-07,0.00891365045934294,0.400024504529006,8.35946168114599e-08,0.00891428282930287,0.400024588123622,569.310035325461,10,"Siltuximab","sIL-6","mIL-6R",5
"2393",28.4,565.889101968419,0,1972.68940946191,1452.77836489593,5.55860228511511e-07,0.00902088999422962,0.400024503077212,8.46839048766095e-08,0.00902153053836301,0.400024587761117,565.898122858414,10,"Siltuximab","sIL-6","mIL-6R",5
"2394",28.5,562.545122630412,0,1961.03229748962,1452.94865542995,5.62951253924026e-07,0.00912780033763895,0.400024501624099,8.57741642712251e-08,0.00912844906305714,0.400024587398264,562.554250430749,10,"Siltuximab","sIL-6","mIL-6R",5
"2395",28.6,559.266976076954,0,1949.60467860426,1452.95685663921,5.70048226920788e-07,0.00923438246909503,0.400024500169715,8.68653623331704e-08,0.00923503938268429,0.400024587035077,559.276210459423,10,"Siltuximab","sIL-6","mIL-6R",5
"2396",28.7,556.052530920232,0,1938.39912278793,1452.80908012464,5.77150979679106e-07,0.00934063736536365,0.400024498714098,8.79574702990078e-08,0.00934130247381363,0.400024586671569,556.061871557597,10,"Siltuximab","sIL-6","mIL-6R",5
"2397",28.8,552.89972932364,0,1927.40845642221,1452.51122372589,5.84259368046336e-07,0.00944656600043441,0.400024497257285,8.905046315859e-08,0.00944723931026562,0.400024586307749,552.90917588964,10,"Siltuximab","sIL-6","mIL-6R",5
"2398",28.9,549.806584448608,0,1916.62575338785,1452.06897895047,5.91373270606892e-07,0.00955216934550408,0.400024495799307,9.01443195106279e-08,0.00955285086309419,0.400024585943626,549.816136617953,10,"Siltuximab","sIL-6","mIL-6R",5
"2399",29,546.771177990041,0,1906.04432647328,1451.48783814499,5.98492587759364e-07,0.00965744836896088,0.400024494340189,9.1239021419573e-08,0.00965813810057006,0.40002458557921,546.78083543841,10,"Siltuximab","sIL-6","mIL-6R",5
"2400",29.1,543.791657797398,0,1895.65771908173,1450.77310141723,6.05617240805575e-07,0.00976240403637001,0.400024492879952,9.23345542741116e-08,0.00976310198816509,0.400024585214506,543.801420201435,10,"Siltuximab","sIL-6","mIL-6R",5
"2401",29.2,540.866235578418,0,1885.45969722637,1449.92988331768,6.12747171053182e-07,0.00986703731046001,0.400024491418614,9.34309066475473e-08,0.00986774348853771,0.400024584849521,540.876102615729,10,"Siltuximab","sIL-6","mIL-6R",5
