"","T0_thy","Ttotss_thy","Lss_thy","Dss_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","param.to.change","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Lss_sim","Dss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","error_simulation","param","fold.change.param","drug"
"47",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.38989e-05,8.4054e-05,8.40164e-05,8.412e-05,5,3.66667,0.5,7.33333,0.250327,7.33333,6881.93,8.41857e-05,8.37334e-05,357,0.000307023,-9.08643e-05,-1.21115e-16,0,"kon_TL",9.99999999999998,"Pembro"
"48",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.20809e-05,8.35903e-05,8.30948e-05,8.412e-05,50,36.6667,0.5,7.33333,0.253077,7.33331,6881.92,8.41815e-05,8.3729e-05,357,0.00307006,-9.10228e-05,-7.75138e-16,0,"kon_TL",99.9999999999999,"Pembro"
"49",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,6.74622e-05,7.92198e-05,7.48815e-05,8.412e-05,500,366.667,0.5,7.33333,0.280568,7.33306,6881.91,8.41401e-05,8.36851e-05,357,0.0306845,-9.25657e-05,0,0,"kon_TL",1000,"Pembro"
"50",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,2.42582e-05,5.20207e-05,3.76585e-05,8.412e-05,5000,3666.67,0.5,7.33333,0.553913,7.33062,6881.77,8.37287e-05,8.32507e-05,357,0.305253,-0.000111511,0,0,"kon_TL",9999.99999999997,"Pembro"
"51",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,3.27629e-06,1.17339e-05,6.30698e-06,8.412e-05,50000,36666.7,0.5,7.33333,3.15056,7.3085,6869.4,8.01262e-05,7.94456e-05,357,2.913,-0.00143604,-3.9687e-16,0,"kon_TL",99999.9999999998,"Pembro"
"52",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,3.39533e-07,1.34188e-06,6.76336e-07,8.412e-05,5e+05,366667,0.5,7.33333,237388,81.2517,1458.31,0.0584128,0.64732,357,237351,-0.0324795,0,0,"kon_TL",999999.999999999,"Pembro"
"53",0.5,0.25,7.33333,6887.92,5.33728e-05,5.33757e-05,5.33616e-05,5.33679e-05,5.33715e-05,5.33757e-05,3.456e-06,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.34193e-05,5.31323e-05,357,1.94818e-05,-9.08108e-05,0,0,"koff_DT",1e-06,"Pembro"
"54",0.5,0.25,7.33333,6887.92,5.33731e-05,5.3376e-05,5.33619e-05,5.33682e-05,5.33718e-05,5.3376e-05,3.456e-05,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.34195e-05,5.31326e-05,357,1.94819e-05,-9.09105e-05,0,0,"koff_DT",9.99999999999999e-06,"Pembro"
"55",0.5,0.25,7.33333,6887.92,5.33759e-05,5.33787e-05,5.33647e-05,5.33709e-05,5.33746e-05,5.33787e-05,0.0003456,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.34223e-05,5.31353e-05,357,1.9483e-05,-9.09727e-05,0,0,"koff_DT",9.99999999999999e-05,"Pembro"
"56",0.5,0.25,7.33333,6887.92,5.34035e-05,5.34064e-05,5.33923e-05,5.33986e-05,5.34022e-05,5.34064e-05,0.003456,0.366667,0.5,7.33333,0.250033,7.33333,6881.92,5.345e-05,5.31629e-05,357,1.94931e-05,-9.07545e-05,0,0,"koff_DT",0.000999999999999999,"Pembro"
