"","TL0_keTL0_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","L0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","param.to.change1","fold.change.param1","param","drug"
"41",7.26e-08,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-06,1e-05,3.66667e-06,0.5,7.33333,0.250021,7.33333,6881.93,8.37339e-05,357,3.07024e-10,-9.07818e-05,1.15504e-16,5e-06,1e-05,"kon_TL","Pembro"
"42",7.26e-07,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-05,1e-04,3.66667e-05,0.5,7.33333,0.250021,7.33333,6881.92,8.37339e-05,357,3.07024e-09,-9.06874e-05,0,5e-05,1e-04,"kon_TL","Pembro"
"43",7.26e-06,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-04,0.001,0.000366667,0.5,7.33333,0.250021,7.33333,6881.92,8.37339e-05,357,3.07024e-08,-9.06521e-05,0,5e-04,0.001,"kon_TL","Pembro"
"44",7.26e-05,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.005,0.01,0.00366667,0.5,7.33333,0.250021,7.33333,6881.92,8.37339e-05,357,3.07024e-07,-9.09717e-05,0,0.005,0.01,"kon_TL","Pembro"
"45",0.000726,0.5,0.25,7.33333,6887.92,0.00424772,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.05,0.1,0.0366667,0.5,7.33333,0.250024,7.33333,6881.92,8.37339e-05,357,3.07024e-06,-9.05336e-05,0,0.05,0.1,"kon_TL","Pembro"
"46",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.5,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.37339e-05,357,3.07024e-05,-9.07678e-05,0,0.5,1,"kon_TL","Pembro"
"47",0.0726,0.5,0.25,7.33333,6887.92,0.00424254,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5,10,3.66667,0.5,7.33333,0.250327,7.33333,6881.93,8.37334e-05,357,0.000307023,-9.08643e-05,-1.21115e-16,5,10,"kon_TL","Pembro"
"48",0.726,0.5,0.25,7.33333,6887.92,0.00419601,NA,NA,NA,NA,0,8.41139e-05,0.00424849,50,100,36.6667,0.5,7.33333,0.253077,7.33331,6881.92,8.3729e-05,357,0.00307006,-9.1023e-05,-7.75138e-16,50,100,"kon_TL","Pembro"
"49",7.26,0.5,0.25,7.33333,6887.92,0.00378133,NA,NA,NA,NA,0,8.41139e-05,0.00424849,500,1000,366.667,0.5,7.33333,0.280568,7.33306,6881.91,8.3685e-05,357,0.0306845,-9.39169e-05,0,500,1000,"kon_TL","Pembro"
"50",72.6,0.5,0.25,7.33333,6887.92,0.0019018,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5000,10000,3666.67,0.5,7.33333,0.553913,7.33062,6881.77,8.32507e-05,357,0.305253,-0.000111511,0,5000,10000,"kon_TL","Pembro"
